author,min,max,activity_duration
2sn,2023-02-11 13:26:42+00:00,2023-02-11 13:26:42+00:00,0.0
AlekseiNikiforovIBM,2023-03-29 15:43:29+00:00,2023-03-29 15:43:29+00:00,0.0
Algorithmist-Girl,2023-12-31 09:24:02+00:00,2023-12-31 09:24:02+00:00,0.0
BrandonSmithJ,2023-09-26 09:39:30+00:00,2023-09-26 09:39:30+00:00,0.0
BvB93,2023-02-02 15:57:44+00:00,2023-12-22 16:37:48+00:00,7752.667777777778
Carreau,2023-08-31 11:37:54+00:00,2023-12-26 19:29:10+00:00,2815.8544444444447
ChVeen,2023-03-21 22:06:02+00:00,2023-08-21 06:08:31+00:00,3656.041388888889
DWesl,2023-01-23 11:58:05+00:00,2023-11-30 20:24:39+00:00,7472.442777777777
DanShatford,2023-09-03 10:22:37+00:00,2023-09-04 16:28:20+00:00,30.095277777777778
Developer-Ecosystem-Engineering,2022-08-23 19:35:38+00:00,2023-08-31 08:47:59+00:00,8941.205833333333
DhavalParmar61,2023-05-08 10:46:11+00:00,2023-07-31 15:44:32+00:00,2020.9725
DimitriPapadopoulos,2021-10-07 09:40:00+00:00,2023-10-25 22:12:17+00:00,17964.538055555557
Exaphis,2023-06-12 05:23:15+00:00,2023-06-12 05:26:23+00:00,0.052222222222222225
F3eQnxN3RriK,2023-02-24 06:47:48+00:00,2023-12-31 19:28:37+00:00,7452.6802777777775
FFY00,2023-08-14 14:28:17+00:00,2023-08-14 14:28:17+00:00,0.0
Flamefire,2023-12-12 15:20:17+00:00,2023-12-13 11:34:07+00:00,20.230555555555554
FrancescElies,2023-02-17 11:44:54+00:00,2023-02-21 13:50:04+00:00,98.08611111111111
Hank0626,2023-06-19 11:28:30+00:00,2023-06-19 11:28:30+00:00,0.0
HaoZeke,2022-11-23 05:25:15+00:00,2023-12-16 23:27:28+00:00,9330.036944444444
Illviljan,2023-11-13 22:12:40+00:00,2023-11-13 22:12:40+00:00,0.0
InessaPawson,2023-02-28 19:02:40+00:00,2023-02-28 19:02:40+00:00,0.0
JanukanS,2023-06-01 11:56:15+00:00,2023-06-01 11:56:15+00:00,0.0
JoryKlaverstijn,2023-03-31 14:38:15+00:00,2023-03-31 14:38:15+00:00,0.0
JulesKouatchou,2023-04-23 02:53:11+00:00,2023-04-26 12:29:08+00:00,81.59916666666666
Kai-Striega,2023-06-21 07:54:59+00:00,2023-06-29 05:29:39+00:00,189.57777777777778
KrisMinchev,2023-09-19 10:43:50+00:00,2023-09-19 13:36:48+00:00,2.8827777777777777
KybernetikJo,2023-07-21 15:45:03+00:00,2023-12-21 23:03:31+00:00,3679.3077777777776
LeonaTaric,2023-01-09 11:02:05+00:00,2023-01-09 11:02:05+00:00,0.0
LoveEatCandy,2023-05-09 10:09:39+00:00,2023-05-09 10:09:39+00:00,0.0
MashyBasker,2023-06-26 11:08:32+00:00,2023-06-26 11:08:32+00:00,0.0
MatteoRaso,2023-01-18 07:25:00+00:00,2023-04-02 03:11:26+00:00,1771.773888888889
Micky774,2023-04-08 18:27:25+00:00,2023-04-08 18:27:25+00:00,0.0
Mike-gag,2023-03-19 19:26:17+00:00,2023-03-19 19:26:17+00:00,0.0
MikiPWata,2023-03-02 00:09:50+00:00,2023-03-02 00:09:50+00:00,0.0
MohitKumar020291,2023-06-27 07:10:07+00:00,2023-06-28 09:11:44+00:00,26.026944444444446
Mousius,2023-04-17 12:45:32+00:00,2023-12-21 16:07:33+00:00,5955.366944444444
MuhammadNizamani,2023-04-04 13:03:43+00:00,2023-04-04 13:03:43+00:00,0.0
Mukulikaa,2023-01-09 17:38:36+00:00,2023-07-09 15:26:12+00:00,4341.793333333333
Neilblaze,2023-03-31 05:38:54+00:00,2023-03-31 05:38:54+00:00,0.0
OverLordGoldDragon,2023-12-30 22:13:34+00:00,2023-12-30 22:13:34+00:00,0.0
PLameiras,2023-03-28 09:31:54+00:00,2023-03-28 09:31:54+00:00,0.0
Phlogistique,2023-01-27 18:39:38+00:00,2023-01-27 18:39:38+00:00,0.0
RonaldAJ,2023-07-07 05:57:37+00:00,2023-07-07 05:57:37+00:00,0.0
SUPERustam,2023-01-06 10:41:47+00:00,2023-01-06 10:41:47+00:00,0.0
Sarah-Yifei-Wang,2023-12-31 17:10:10+00:00,2023-12-31 17:10:10+00:00,0.0
SigureMo,2023-12-22 08:07:26+00:00,2023-12-22 08:07:26+00:00,0.0
TheHawz,2023-12-18 18:59:42+00:00,2023-12-18 18:59:42+00:00,0.0
Unessam,2023-02-26 15:21:56+00:00,2023-04-28 11:16:38+00:00,1459.9116666666666
WarrenWeckesser,2023-02-16 12:14:32+00:00,2023-08-06 17:16:00+00:00,4109.024444444444
WillAyd,2023-10-17 08:30:08+00:00,2023-10-17 08:30:08+00:00,0.0
WillTirone,2023-01-24 17:20:27+00:00,2023-01-24 17:20:27+00:00,0.0
XPhyro,2023-03-16 19:18:14+00:00,2023-03-16 19:18:14+00:00,0.0
adrybakov,2023-07-04 17:40:53+00:00,2023-07-04 19:25:15+00:00,1.7394444444444443
adwiii,2023-10-24 16:50:27+00:00,2023-10-24 16:50:27+00:00,0.0
afuetterer,2023-10-12 18:21:54+00:00,2023-10-12 18:21:54+00:00,0.0
agctute,2023-05-19 23:44:30+00:00,2023-05-19 23:44:30+00:00,0.0
albanie,2023-10-09 12:48:18+00:00,2023-10-09 12:48:18+00:00,0.0
andersonm-ibm,2023-06-07 20:19:43+00:00,2023-06-07 20:19:43+00:00,0.0
andrea-bia,2023-12-02 15:31:37+00:00,2023-12-02 15:31:37+00:00,0.0
andyfaff,2023-01-20 15:03:28+00:00,2023-12-06 00:22:52+00:00,7665.323333333334
ankur0904,2023-08-15 05:33:09+00:00,2023-08-15 05:34:57+00:00,0.03
anntzer,2023-07-04 15:41:33+00:00,2023-07-04 15:41:33+00:00,0.0
arogozhnikov,2023-02-26 07:56:47+00:00,2023-02-26 08:19:45+00:00,0.3827777777777778
asmeurer,2023-06-05 20:33:12+00:00,2023-12-13 22:00:30+00:00,4585.455
aurivus-ph,2023-04-24 09:14:20+00:00,2023-05-23 08:34:11+00:00,695.3308333333333
bashtage,2022-07-12 16:35:16+00:00,2023-07-11 23:21:24+00:00,8742.76888888889
bharatr21,2023-08-27 09:21:05+00:00,2023-08-27 09:21:05+00:00,0.0
bhavyaalekhya,2023-12-29 21:18:16+00:00,2023-12-29 21:18:16+00:00,0.0
bobeldering,2023-03-22 15:48:56+00:00,2023-03-22 15:48:56+00:00,0.0
bsipocz,2023-05-25 17:25:39+00:00,2023-08-02 22:33:53+00:00,1661.1372222222221
bwalshe,2023-05-22 10:43:44+00:00,2023-06-05 13:08:39+00:00,338.41527777777776
byrdie,2023-02-17 22:29:41+00:00,2023-02-25 00:16:32+00:00,169.78083333333333
cabreraalex,2023-12-29 17:56:27+00:00,2023-12-29 17:56:27+00:00,0.0
carljm,2023-06-01 07:07:26+00:00,2023-06-01 07:07:26+00:00,0.0
cbouss,2023-09-21 19:24:07+00:00,2023-09-21 19:24:07+00:00,0.0
cbrt64,2023-03-30 21:52:12+00:00,2023-03-30 21:52:12+00:00,0.0
charris,2023-01-03 19:31:06+00:00,2023-12-22 13:15:27+00:00,8465.739166666666
chethanreddy123,2023-01-16 18:05:12+00:00,2023-01-16 18:05:12+00:00,0.0
chrisb-fico,2023-04-22 20:47:44+00:00,2023-04-22 20:47:44+00:00,0.0
dependabot[bot],2023-03-14 23:05:41+00:00,2023-12-18 17:54:57+00:00,6690.821111111111
dhomeier,2022-06-17 01:15:06+00:00,2022-06-17 16:39:44+00:00,15.410555555555556
dirwolf,2023-12-25 06:48:13+00:00,2023-12-25 06:48:13+00:00,0.0
djramones,2023-11-06 17:34:21+00:00,2023-11-06 17:34:21+00:00,0.0
dmbelov,2023-01-01 12:38:57+00:00,2023-01-01 12:38:57+00:00,0.0
domdfcoding,2023-05-02 10:44:54+00:00,2023-05-02 10:44:54+00:00,0.0
drammock,2023-04-27 17:20:28+00:00,2023-04-27 17:22:29+00:00,0.03361111111111111
dshintani404,2023-01-19 17:20:49+00:00,2023-01-19 17:20:49+00:00,0.0
edoyango,2023-08-07 23:08:56+00:00,2023-08-07 23:08:56+00:00,0.0
eendebakpt,2023-01-23 17:58:02+00:00,2023-12-14 19:59:40+00:00,7802.027222222222
eliegoudout,2023-11-28 14:52:05+00:00,2023-11-28 14:52:05+00:00,0.0
eltociear,2023-02-10 10:05:32+00:00,2023-02-10 10:05:32+00:00,0.0
emilyhunt,2023-11-14 10:42:20+00:00,2023-11-14 10:42:20+00:00,0.0
eric-wieser,2020-11-01 22:15:43+00:00,2020-11-01 22:15:43+00:00,0.0
ev-br,2023-05-19 10:17:31+00:00,2023-07-12 20:37:47+00:00,1306.3377777777778
f380cedric,2023-04-25 13:47:48+00:00,2023-08-29 13:52:41+00:00,3024.081388888889
facundobatista,2023-05-22 13:39:06+00:00,2023-05-22 13:39:06+00:00,0.0
felixxm,2023-01-04 09:30:58+00:00,2023-01-04 09:30:58+00:00,0.0
florath,2023-12-02 20:03:59+00:00,2023-12-02 20:03:59+00:00,0.0
ganesh-k13,2020-10-20 09:52:12+00:00,2023-11-10 13:31:27+00:00,26787.654166666667
graingert,2023-10-11 09:14:51+00:00,2023-10-11 09:14:51+00:00,0.0
h-mayorquin,2023-09-10 12:09:38+00:00,2023-09-10 12:09:38+00:00,0.0
hawkinsp,2023-01-30 15:01:05+00:00,2023-11-13 13:12:28+00:00,6886.189722222222
helloworld922,2023-11-07 16:33:56+00:00,2023-11-07 16:33:56+00:00,0.0
hmaarrfk,2023-01-16 07:37:55+00:00,2023-01-27 17:01:08+00:00,273.38694444444445
honno,2023-07-31 18:02:00+00:00,2023-07-31 18:02:00+00:00,0.0
hoodmane,2023-02-06 21:00:22+00:00,2023-07-01 00:08:18+00:00,3459.132222222222
hroncok,2023-11-20 10:36:36+00:00,2023-11-20 10:36:36+00:00,0.0
i-am-b-soto,2020-12-22 00:19:04+00:00,2020-12-26 22:38:23+00:00,118.32194444444444
iaminebriki,2023-11-01 20:41:48+00:00,2023-11-01 20:41:48+00:00,0.0
iritkatriel,2023-04-11 07:47:55+00:00,2023-04-11 07:47:55+00:00,0.0
iv-m,2023-10-12 07:49:35+00:00,2023-10-12 07:49:35+00:00,0.0
jacobmcasey,2023-09-15 05:00:32+00:00,2023-09-15 05:00:32+00:00,0.0
jakelishman,2023-09-28 19:42:29+00:00,2023-09-28 19:42:29+00:00,0.0
jakevdp,2023-08-25 11:13:26+00:00,2023-12-13 21:34:55+00:00,2650.3580555555554
jarrodmillman,2023-03-16 18:09:37+00:00,2023-05-22 17:42:31+00:00,1607.5483333333334
jbrockmendel,2022-03-15 04:50:10+00:00,2023-03-13 23:37:22+00:00,8730.786666666667
jcwchen,2023-04-19 21:11:33+00:00,2023-04-19 21:11:33+00:00,0.0
jedlr,2023-03-27 19:31:14+00:00,2023-03-27 19:31:14+00:00,0.0
jfbu,2023-01-05 12:27:31+00:00,2023-02-07 20:05:51+00:00,799.6388888888889
jmrohwer,2023-11-16 13:27:34+00:00,2023-11-16 13:27:34+00:00,0.0
joycebrum,2023-02-27 20:27:09+00:00,2023-02-27 20:27:54+00:00,0.0125
jungaretti,2023-01-24 10:49:17+00:00,2023-01-24 10:49:17+00:00,0.0
kawakami-k,2023-03-08 14:50:50+00:00,2023-03-08 14:50:50+00:00,0.0
khawajaJunaid,2023-09-25 12:48:23+00:00,2023-09-25 12:48:23+00:00,0.0
kohlerjl,2023-02-06 01:48:26+00:00,2023-02-06 01:52:17+00:00,0.06416666666666666
kraj,2023-01-17 19:07:34+00:00,2023-01-17 19:07:34+00:00,0.0
larrybradley,2023-03-02 19:13:25+00:00,2023-11-17 01:20:20+00:00,6222.115277777778
lazka,2023-10-20 11:59:56+00:00,2023-10-20 12:00:55+00:00,0.01638888888888889
lgeiger,2023-11-22 21:14:56+00:00,2023-11-22 21:34:27+00:00,0.3252777777777778
li-dan,2023-10-17 08:13:16+00:00,2023-10-17 08:13:16+00:00,0.0
liang3zy22,2023-06-10 07:27:16+00:00,2023-11-01 21:39:29+00:00,3470.203611111111
linus-md,2023-12-05 21:34:08+00:00,2023-12-24 18:01:34+00:00,452.45722222222224
lithomas1,2023-11-22 17:51:11+00:00,2023-11-22 17:51:11+00:00,0.0
loganthomas,2023-10-25 03:18:13+00:00,2023-10-25 03:18:13+00:00,0.0
lorentzenchr,2023-04-04 21:39:14+00:00,2023-04-28 11:34:53+00:00,565.9275
lpsinger,2023-05-31 12:15:53+00:00,2023-06-14 14:59:43+00:00,338.73055555555555
lucascolley,2023-09-22 12:19:11+00:00,2023-09-22 12:19:11+00:00,0.0
lvotapka,2023-12-12 00:01:02+00:00,2023-12-12 00:01:02+00:00,0.0
lysnikolaou,2023-05-16 08:59:36+00:00,2023-12-22 21:26:39+00:00,5292.450833333333
mahge,2023-09-23 21:36:37+00:00,2023-09-23 21:36:37+00:00,0.0
maisevector,2023-08-26 08:43:05+00:00,2023-08-26 08:43:05+00:00,0.0
markdryan,2023-11-23 15:49:55+00:00,2023-11-28 15:40:45+00:00,119.84722222222223
markmentovai,2023-10-20 19:20:48+00:00,2023-10-20 19:20:48+00:00,0.0
markopacak,2023-01-18 23:40:34+00:00,2023-01-18 23:40:34+00:00,0.0
matoro,2023-06-18 23:39:06+00:00,2023-11-25 22:03:10+00:00,3838.4011111111113
mattip,2022-11-30 12:50:24+00:00,2023-12-31 06:38:24+00:00,9497.8
maxwell-aladago,2019-08-23 16:36:10+00:00,2019-08-23 16:36:10+00:00,0.0
mbargull,2023-11-08 21:07:27+00:00,2023-11-08 21:07:27+00:00,0.0
mcp292,2023-06-22 19:53:10+00:00,2023-06-22 19:53:10+00:00,0.0
mdhaber,2023-09-07 18:20:57+00:00,2023-12-31 19:23:11+00:00,2761.037222222222
melissawm,2020-01-20 13:39:17+00:00,2023-12-05 20:18:14+00:00,33966.64916666667
mhvk,2023-02-08 19:11:57+00:00,2023-12-19 20:28:51+00:00,7537.281666666667
milancurcic,2023-09-04 09:41:49+00:00,2023-09-04 09:41:49+00:00,0.0
mkoeppe,2023-08-24 16:51:34+00:00,2023-08-24 16:51:34+00:00,0.0
mlondschien,2023-01-05 12:36:52+00:00,2023-01-07 10:28:55+00:00,45.8675
molsonkiko,2023-03-14 12:57:27+00:00,2023-04-25 18:46:56+00:00,1013.8247222222222
mtsokol,2023-06-14 17:30:01+00:00,2023-12-19 16:19:00+00:00,4510.8163888888885
munirahd,2023-09-13 17:29:54+00:00,2023-09-13 17:29:54+00:00,0.0
mykykh,2023-11-04 23:19:07+00:00,2023-11-04 23:19:07+00:00,0.0
n-takumasa,2023-12-22 07:31:55+00:00,2023-12-22 07:31:55+00:00,0.0
nbehrnd,2023-04-25 14:03:37+00:00,2023-04-25 14:03:37+00:00,0.0
neutrinoceros,2023-03-14 10:24:19+00:00,2023-07-28 12:28:48+00:00,3266.074722222222
ngoldbaum,2023-01-02 13:31:32+00:00,2023-12-28 21:05:19+00:00,8647.563055555556
ninousf,2023-03-10 17:08:55+00:00,2023-05-22 21:27:45+00:00,1756.3138888888889
nschloe,2023-04-20 16:00:59+00:00,2023-04-20 16:00:59+00:00,0.0
oleksandr-pavlyk,2023-01-10 22:39:08+00:00,2023-01-10 22:39:08+00:00,0.0
oscargus,2023-01-05 11:48:45+00:00,2023-01-05 11:48:45+00:00,0.0
panosz,2023-01-08 19:17:24+00:00,2023-01-08 19:17:24+00:00,0.0
partev,2023-03-23 15:21:08+00:00,2023-03-23 17:10:07+00:00,1.8163888888888888
patient74,2023-07-08 09:31:31+00:00,2023-07-08 09:31:31+00:00,0.0
paulreece,2023-07-15 22:45:38+00:00,2023-07-15 22:45:38+00:00,0.0
paulromano,2023-05-10 13:56:41+00:00,2023-05-10 13:56:41+00:00,0.0
pcralmeida,2023-04-11 07:38:03+00:00,2023-04-11 07:38:03+00:00,0.0
peytondmurray,2023-02-07 21:36:06+00:00,2023-03-03 19:21:37+00:00,573.7586111111111
phy6boy,2023-10-30 08:07:02+00:00,2023-10-30 08:07:02+00:00,0.0
pierreloicq,2023-03-07 13:28:55+00:00,2023-10-28 10:20:27+00:00,5636.858888888889
pmvz,2023-02-06 20:10:14+00:00,2023-02-10 17:19:39+00:00,93.15694444444445
pnacht,2023-09-06 15:36:38+00:00,2023-09-06 15:36:38+00:00,0.0
pojaghi,2023-12-31 09:20:17+00:00,2023-12-31 09:20:17+00:00,0.0
pradghos,2023-01-24 09:19:38+00:00,2023-01-24 14:07:45+00:00,4.801944444444445
pratiklp00,2023-06-12 17:34:22+00:00,2023-06-12 17:34:22+00:00,0.0
qbarthelemy,2023-06-26 13:05:51+00:00,2023-06-26 13:05:51+00:00,0.0
qunaibit,2023-06-15 01:23:05+00:00,2023-06-15 01:23:05+00:00,0.0
r-devulap,2022-06-14 16:03:41+00:00,2023-12-14 17:01:19+00:00,13152.960555555555
rdevulap,2022-10-06 05:18:39+00:00,2022-11-02 21:17:27+00:00,663.98
reckenrode,2023-07-17 17:20:20+00:00,2023-07-17 17:20:20+00:00,0.0
rgommers,2023-01-04 19:25:10+00:00,2023-12-31 13:24:50+00:00,8657.994444444445
richierocks,2023-01-17 06:21:56+00:00,2023-01-17 06:21:56+00:00,0.0
rkern,2023-04-14 04:48:57+00:00,2023-06-22 19:59:20+00:00,1671.1730555555555
rmhowe425,2023-07-15 23:06:49+00:00,2023-11-26 19:01:47+00:00,3211.916111111111
rossbar,2023-01-05 05:00:54+00:00,2023-10-18 17:55:00+00:00,6876.901666666667
sadigulcelik,2023-03-25 21:26:09+00:00,2023-03-25 21:26:09+00:00,0.0
salujaditi14,2023-08-09 19:06:46+00:00,2023-08-09 19:06:46+00:00,0.0
sayantikabanik,2021-11-12 08:24:58+00:00,2021-11-12 08:24:58+00:00,0.0
scoder,2023-05-04 07:18:16+00:00,2023-05-04 08:23:03+00:00,1.0797222222222222
seberg,2021-12-08 02:17:17+00:00,2023-12-27 12:07:48+00:00,17985.841944444444
seiko2plus,2022-02-14 05:12:48+00:00,2023-12-15 10:37:01+00:00,16061.40361111111
serge-sans-paille,2023-12-05 08:51:34+00:00,2023-12-05 08:51:34+00:00,0.0
shubhalgupta,2023-11-07 06:45:14+00:00,2023-11-07 06:45:14+00:00,0.0
simonaltrogge,2023-01-26 13:47:28+00:00,2023-01-26 13:47:28+00:00,0.0
soma2000-lang,2023-04-10 18:28:54+00:00,2023-04-13 19:38:48+00:00,73.165
spagh-eddie,2023-01-10 04:44:52+00:00,2023-01-10 04:44:52+00:00,0.0
stefan6419846,2023-10-25 15:26:30+00:00,2023-11-10 11:49:28+00:00,380.3827777777778
stefanor,2023-12-06 12:41:44+00:00,2023-12-06 12:41:44+00:00,0.0
stefanv,2023-02-04 23:08:37+00:00,2023-11-08 01:36:45+00:00,6626.468888888889
stefmolin,2023-01-16 21:30:25+00:00,2023-04-14 05:22:48+00:00,2095.8730555555558
step-security-bot,2023-03-05 18:34:24+00:00,2023-03-05 18:34:24+00:00,0.0
steppi,2023-08-30 12:20:43+00:00,2023-08-30 12:20:43+00:00,0.0
svank,2023-06-22 21:28:51+00:00,2023-06-22 21:28:51+00:00,0.0
szsdk,2023-07-28 10:11:11+00:00,2023-07-28 10:11:11+00:00,0.0
szwiep,2023-12-29 16:39:06+00:00,2023-12-29 16:39:06+00:00,0.0
tacaswell,2023-05-14 01:33:45+00:00,2023-11-18 21:46:52+00:00,4532.218611111111
tajbinjohn,2023-04-23 22:18:01+00:00,2023-04-23 22:18:01+00:00,0.0
talhabm,2023-04-26 16:30:43+00:00,2023-04-26 16:30:43+00:00,0.0
thalassemia,2023-11-08 01:13:12+00:00,2023-11-08 01:13:12+00:00,0.0
thesamesam,2023-07-23 20:31:08+00:00,2023-07-23 20:31:08+00:00,0.0
timhoffm,2023-12-03 00:09:14+00:00,2023-12-03 00:09:14+00:00,0.0
timkpaine,2023-07-01 00:35:31+00:00,2023-07-01 00:35:31+00:00,0.0
ttsugriy,2023-05-22 22:09:57+00:00,2023-05-22 23:50:17+00:00,1.6722222222222223
tupui,2023-01-12 16:31:13+00:00,2023-06-12 11:45:19+00:00,3619.235
tylerjereddy,2023-01-08 20:11:14+00:00,2023-12-01 23:30:19+00:00,7851.3180555555555
undermyumbrella1,2023-07-02 10:38:12+00:00,2023-08-21 12:57:13+00:00,1202.3169444444445
unknown,2020-12-27 01:20:29+00:00,2023-09-24 08:29:19+00:00,24031.147222222222
visitorckw,2023-10-07 21:57:00+00:00,2023-10-07 21:57:00+00:00,0.0
warrickball,2023-09-01 13:50:00+00:00,2023-09-01 13:50:00+00:00,0.0
wjandrea,2023-11-24 21:57:47+00:00,2023-11-24 21:57:47+00:00,0.0
xor2k,2023-01-13 20:24:35+00:00,2023-01-13 20:24:35+00:00,0.0
xzmeng,2023-08-31 09:04:36+00:00,2023-08-31 09:08:12+00:00,0.06
zachbrugh,2023-12-29 22:40:36+00:00,2023-12-29 22:40:36+00:00,0.0
zoj613,2023-10-18 19:38:42+00:00,2023-11-16 09:39:36+00:00,686.015
zrottman,2023-12-08 09:30:19+00:00,2023-12-08 09:30:19+00:00,0.0
