label,count
"['component: numpy.polynomial', '07 - Deprecation', 'sprintable']",1
"['04 - Documentation', 'component: numpy.lib', '07 - Deprecation', '62 - Python API']",1
"['01 - Enhancement', 'component: numpy._core', '07 - Deprecation']",1
"['14 - Release', '04 - Documentation', 'component: documentation']",1
"['01 - Enhancement', '03 - Maintenance']",1
"['07 - Deprecation', 'component: numpy.dtype']",1
"['03 - Maintenance', '63 - C API']",1
"['17 - Task', '04 - Documentation', 'component: documentation']",1
"['01 - Enhancement', 'component: NEP']",1
['60 - Major release'],1
"['14 - Release', '32 - Installation']",1
"['17 - Task', 'component: numpy.matrixlib', '07 - Deprecation', 'component: numpy.ufunc']",1
"['00 - Bug', 'Priority: high', 'component: SIMD']",1
"['00 - Bug', '15 - Discussion', 'component: numpy.ufunc', 'component: numpy.dtype']",1
"['00 - Bug', '05 - Testing', 'component: numpy.random']",1
"['01 - Enhancement', '04 - Documentation', 'Project', 'component: __array_function__']",1
"['component: numpy.lib', '57 - Close?']",1
"['component: numpy.fft', 'component: __array_function__', '29 - Intel/Anaconda']",1
"['01 - Enhancement', '15 - Discussion']",1
"['01 - Enhancement', 'Project', 'Numpy 2.0 API Changes']",1
"['57 - Close?', '50 - Duplicate', '33 - Question']",1
"['component: numpy.ufunc', 'component: numpy.dtype']",1
"['04 - Documentation', 'component: numpy.matrixlib']",1
"['00 - Bug', 'Priority: high', 'component: numpy.ufunc']",1
"['04 - Documentation', 'component: numpy.ma', '57 - Close?']",1
"['component: numpy.f2py', 'component: build']",1
"['03 - Maintenance', '07 - Deprecation']",1
"['04 - Documentation', 'component: numpy.lib', '03 - Maintenance']",1
"['00 - Bug', '04 - Documentation', 'component: numpy.ufunc']",1
['63 - C API'],1
"['15 - Discussion', 'Numpy 2.0 API Changes']",1
"['00 - Bug', '32 - Installation', 'Meson']",1
"['00 - Bug', 'triage review']",1
"['00 - Bug', '06 - Regression', 'component: numpy.distutils', 'component: numpy.f2py']",1
"['01 - Enhancement', 'component: numpy.linalg', '07 - Deprecation', '62 - Python API']",1
"['15 - Discussion', 'component: numpy.dtype']",1
"['15 - Discussion', '60 - Major release', 'component: numpy.dtype']",1
"['06 - Regression', 'component: numpy._core', 'triaged']",1
"['57 - Close?', 'component: numpy.einsum', '33 - Question']",1
"['component: build', '33 - Question']",1
"['component: numpy.f2py', 'Tracking / planning']",1
"['57 - Close?', 'component: numpy.ufunc']",1
"['01 - Enhancement', '57 - Close?', 'triage review']",1
"['17 - Task', '03 - Maintenance', 'Project']",1
"['00 - Bug', '36 - Build', 'C++']",1
"['00 - Bug', 'component: numpy.f2py', '53 - Invalid']",1
"['14 - Release', '54 - Needs decision']",1
"['component: numpy.linalg', '38 - Cross compilation']",1
"['03 - Maintenance', 'component: distribution']",1
"['component: numpy.lib', '54 - Needs decision', 'triage review']",1
"['component: numpy.random', '28 - Benchmark']",1
"['17 - Task', '05 - Testing', 'Static typing']",1
"['00 - Bug', '06 - Regression', 'component: numpy._core', 'component: numpy.lib']",1
"['50 - Duplicate', 'component: numpy.datetime64']",1
"['00 - Bug', 'defunct — difficulty: Intermediate', 'component: numpy.dtype']",1
"['04 - Documentation', 'component: __array_function__']",1
"['00 - Bug', 'component: numpy.distutils', 'component: distribution']",1
"['05 - Testing', 'component: numpy.einsum']",1
"['00 - Bug', '06 - Regression', 'triaged']",1
"['04 - Documentation', 'component: documentation', 'component: numpy.ufunc']",1
"['00 - Bug', 'component: numpy.lib', '56 - Needs Release Note.']",1
"['00 - Bug', 'component: numpy.random', '57 - Close?']",1
"['57 - Close?', 'component: build', '32 - Installation']",1
"['17 - Task', 'component: numpy._core', '07 - Deprecation', 'defunct — difficulty: Intermediate']",1
"['00 - Bug', '06 - Regression', 'component: numpy.dtype']",1
"['00 - Bug', '06 - Regression', 'component: numpy.ma', 'component: numpy.ufunc']",1
"['00 - Bug', '57 - Close?', '29 - Intel/Anaconda']",1
"['00 - Bug', 'defunct — difficulty: Intermediate']",1
"['00 - Bug', '15 - Discussion', 'component: numpy._core', '60 - Major release', 'component: numpy.dtype']",1
"['component: numpy.ma', '57 - Close?']",1
"['01 - Enhancement', '04 - Documentation', 'component: documentation']",1
"['00 - Bug', '04 - Documentation', 'component: numpy.f2py']",1
"['23 - Wish List', '62 - Python API']",1
"['component: numpy.random', 'component: CI']",1
"['05 - Testing', 'component: numpy.f2py']",1
"['component: numpy._core', '54 - Needs decision', 'component: numpy.array_api']",1
"['62 - Python API', '63 - C API', 'Tracking / planning']",1
"['Project', 'sprintable - C']",1
"['triage review', 'Numpy 2.0 API Changes']",1
"['00 - Bug', '06 - Regression', 'component: numpy.polynomial']",1
"['00 - Bug', '05 - Testing', 'component: numpy.polynomial', '24 - PyPy']",1
"['01 - Enhancement', 'component: numpy._core', 'component: numpy.dtype']",1
"['06 - Regression', 'component: numpy._core', '56 - Needs Release Note.']",1
"['component: documentation', 'component: numpy.ufunc']",1
"['00 - Bug', '15 - Discussion', 'component: numpy.ufunc']",1
"['01 - Enhancement', 'triaged']",1
"['00 - Bug', '07 - Deprecation', 'defunct — difficulty: Intermediate', 'component: numpy.dtype']",1
"['component: numpy.f2py', '29 - Intel/Anaconda']",1
"['component: build', '29 - Intel/Anaconda']",1
"['00 - Bug', '31 - Third-party binaries']",1
"['01 - Enhancement', '05 - Testing', '30 - API']",1
"['14 - Release', 'component: documentation']",1
"['04 - Documentation', 'component: documentation', 'component: numpy.dtype']",1
"['00 - Bug', '01 - Enhancement', 'component: numpy._core']",1
"['01 - Enhancement', 'defunct — difficulty: Intermediate']",1
"['15 - Discussion', 'component: numpy.random']",1
"['23 - Wish List', '04 - Documentation']",1
"['00 - Bug', 'component: numpy.dtype', 'component: numpy.datetime64']",1
"['01 - Enhancement', '23 - Wish List', '05 - Testing', 'component: numpy._core']",1
"['component: numpy.ma', '03 - Maintenance', '57 - Close?']",1
"['00 - Bug', 'sprintable - C', 'component: numpy.strings']",1
"['04 - Documentation', '50 - Duplicate', 'component: numpy.ufunc']",1
"['00 - Bug', 'component: documentation', 'component: numpy.dtype']",1
"['00 - Bug', '15 - Discussion', 'component: documentation']",1
"['00 - Bug', '15 - Discussion']",1
"['15 - Discussion', '04 - Documentation', 'component: numpy.f2py', '03 - Maintenance']",1
"['15 - Discussion', 'component: numpy.f2py', '54 - Needs decision', '03 - Maintenance']",1
"['05 - Testing', 'component: numpy.distutils', 'component: numpy.f2py', 'Meson']",1
"['04 - Documentation', 'Numpy 2.0 API Changes']",1
"['15 - Discussion', '07 - Deprecation', '57 - Close?', 'component: numpy.dtype']",1
"['01 - Enhancement', '23 - Wish List', '54 - Needs decision']",1
"['component: numpy._core', 'component: build']",1
"['00 - Bug', 'component: numpy.random', '54 - Needs decision']",1
"['component: numpy.random', '29 - Intel/Anaconda']",1
"['component: numpy.fft', '29 - Intel/Anaconda']",1
"['00 - Bug', '06 - Regression', 'component: numpy._core', 'component: numpy.dtype']",1
"['component: numpy.ma', '03 - Maintenance']",1
"['50 - Duplicate', '29 - Intel/Anaconda']",1
"['23 - Wish List', '15 - Discussion', '57 - Close?']",1
"['01 - Enhancement', '15 - Discussion', 'component: numpy.dtype']",1
"['00 - Bug', '06 - Regression', 'component: numpy.ufunc']",1
"['00 - Bug', '50 - Duplicate', 'component: numpy.ufunc']",1
"['57 - Close?', 'Numpy 2.0 API Changes']",1
"['component: numpy.dtype', '33 - Question']",1
"['32 - Installation', '39 - free-threading']",1
"['16 - Development', 'Static typing']",1
"['00 - Bug', 'Project', 'triaged']",1
"['component: documentation', '50 - Duplicate']",1
"['00 - Bug', 'component: build', 'component: SIMD']",1
"['01 - Enhancement', 'sprintable']",1
"['05 - Testing', '57 - Close?', 'sprintable']",1
"['57 - Close?', '33 - Question', '32 - Installation']",1
"['53 - Invalid', 'Static typing']",1
"['00 - Bug', 'Static typing', 'component: numpy.array_api']",1
"['00 - Bug', 'Static typing', 'component: numpy.strings']",1
"['00 - Bug', '57 - Close?', '39 - free-threading']",1
"['03 - Maintenance', 'Numpy 2.0 API Changes']",1
"['17 - Task', 'component: CI']",1
"['00 - Bug', 'component: numpy.ufunc', '28 - Benchmark']",1
"['00 - Bug', 'component: numpy._core', 'component: numpy.datetime64']",1
"['15 - Discussion', '05 - Testing', 'component: Other', '03 - Maintenance']",1
"['01 - Enhancement', '23 - Wish List', '24 - PyPy']",1
"['23 - Wish List', '07 - Deprecation']",1
"['01 - Enhancement', '23 - Wish List', '60 - Major release', '62 - Python API']",1
"['00 - Bug', '06 - Regression', '26 - Compiler']",1
"['01 - Enhancement', 'Priority: high', 'component: numpy.lib']",1
"['04 - Documentation', '03 - Maintenance', 'Numpy 2.0 API Changes']",1
"['23 - Wish List', '04 - Documentation', 'component: documentation']",1
"['04 - Documentation', 'component: distribution']",1
"['component: numpy.random', 'component: benchmarks']",1
"['23 - Wish List', 'component: benchmarks']",1
"['01 - Enhancement', '05 - Testing', 'component: numpy.testing', '57 - Close?']",1
"['04 - Documentation', 'component: documentation', 'component: build']",1
"['04 - Documentation', '50 - Duplicate']",1
"['component: numpy.random', '57 - Close?', '53 - Invalid']",1
['component: NEP'],1
"['03 - Maintenance', '07 - Deprecation', 'sprintable']",1
"['component: numpy.testing', '03 - Maintenance']",1
"['17 - Task', '04 - Documentation', 'component: NEP']",1
"['01 - Enhancement', '04 - Documentation', 'component: numpy.distutils', 'component: numpy.f2py']",1
"['00 - Bug', 'component: build', '26 - Compiler']",1
"['01 - Enhancement', 'component: numpy.polynomial']",1
"['15 - Discussion', '54 - Needs decision']",1
"['00 - Bug', 'component: build', '24 - PyPy']",1
"['05 - Testing', 'component: numpy.testing', 'component: numpy.matrixlib']",1
"['06 - Regression', 'component: numpy._core', '29 - Intel/Anaconda']",1
"['57 - Close?', 'component: build', '53 - Invalid']",1
"['15 - Discussion', '53 - Invalid']",1
"['15 - Discussion', '57 - Close?', '53 - Invalid']",1
"['00 - Bug', '26 - Compiler', '29 - Intel/Anaconda']",1
"['06 - Regression', '50 - Duplicate']",1
"['01 - Enhancement', '15 - Discussion', 'component: benchmarks', 'triage review']",1
"['05 - Testing', '29 - Intel/Anaconda']",1
"['01 - Enhancement', '03 - Maintenance', 'component: build']",1
"['component: numpy._core', '03 - Maintenance', '07 - Deprecation']",1
"['00 - Bug', '06 - Regression', 'component: numpy.linalg']",1
"['05 - Testing', '57 - Close?']",1
"['01 - Enhancement', 'component: numpy.datetime64']",1
"['00 - Bug', '04 - Documentation', 'component: build']",1
"['Embedded', '32 - Installation']",1
"['00 - Bug', '04 - Documentation', 'component: numpy.dtype']",1
"['15 - Discussion', '04 - Documentation', 'component: numpy.dtype']",1
"['01 - Enhancement', '04 - Documentation', 'component: numpy.lib']",1
"['04 - Documentation', 'component: numpy.dtype']",1
['08 - Backport'],1
"['07 - Deprecation', '62 - Python API']",1
"['component: benchmarks', 'component: numpy.ufunc']",1
"['00 - Bug', '03 - Maintenance', 'Proposal', 'component: numpy.ufunc']",1
"['17 - Task', 'defunct — difficulty: Intermediate']",1
"['57 - Close?', '53 - Invalid', 'component: distribution']",1
"['01 - Enhancement', '50 - Duplicate', 'component: benchmarks']",1
"['57 - Close?', '53 - Invalid', 'component: numpy.datetime64']",1
"['06 - Regression', 'component: numpy.matrixlib', '57 - Close?']",1
"['01 - Enhancement', 'component: numpy._core', 'Proposal']",1
"['01 - Enhancement', 'Proposal']",1
"['01 - Enhancement', 'component: numpy._core', 'component: benchmarks']",1
"['00 - Bug', 'component: numpy.linalg', '50 - Duplicate']",1
"['15 - Discussion', '57 - Close?', 'component: numpy.dtype']",1
"['23 - Wish List', 'component: numpy.linalg', '50 - Duplicate']",1
"['06 - Regression', 'component: numpy.polynomial', 'component: numpy.testing']",1
"['00 - Bug', '01 - Enhancement', 'Priority: high', '62 - Python API', 'triage review']",1
['40 - array API standard'],1
"['00 - Bug', 'component: numpy.f2py', 'Meson']",1
"['00 - Bug', 'component: numpy.ufunc', '39 - free-threading']",1
"['00 - Bug', '01 - Enhancement', 'Project']",1
"['component: benchmarks', '28 - Benchmark']",1
"['00 - Bug', '06 - Regression', 'component: numpy._core', 'sprintable']",1
"['00 - Bug', 'component: numpy.f2py', '50 - Duplicate']",1
"['01 - Enhancement', '16 - Development', 'component: CI']",1
"['00 - Bug', '57 - Close?', '31 - Third-party binaries']",1
"['01 - Enhancement', '17 - Task']",1
"['00 - Bug', 'triage review', 'Static typing']",1
"['component: numpy.lib', 'component: numpy.polynomial', '07 - Deprecation']",1
"['15 - Discussion', '54 - Needs decision', 'Static typing']",1
"['04 - Documentation', 'component: documentation', 'component: numpy.datetime64']",1
"['03 - Maintenance', 'component: build', '50 - Duplicate']",1
"['00 - Bug', 'component: numpy._core', 'triaged']",1
"['00 - Bug', '01 - Enhancement', 'component: build']",1
"['15 - Discussion', '54 - Needs decision', 'component: numpy.datetime64']",1
"['component: numpy._core', 'Proposal', 'defunct — difficulty: Intermediate']",1
"['06 - Regression', 'component: numpy.distutils']",1
"['01 - Enhancement', 'component: numpy.random', '57 - Close?']",1
"['50 - Duplicate', '53 - Invalid']",1
"['23 - Wish List', 'component: numpy.dtype']",1
"['00 - Bug', 'component: numpy._core', 'Project']",1
"['01 - Enhancement', 'component: numpy._core', 'Project']",1
"['04 - Documentation', '03 - Maintenance', '57 - Close?']",1
"['05 - Testing', 'component: numpy.lib', '03 - Maintenance', 'defunct — difficulty: Intermediate']",1
"['15 - Discussion', '06 - Regression', 'component: numpy._core', '07 - Deprecation']",1
"['00 - Bug', '57 - Close?', '53 - Invalid']",1
"['00 - Bug', '23 - Wish List', '50 - Duplicate']",1
"['00 - Bug', '54 - Needs decision', 'component: numpy.dtype']",1
"['05 - Testing', 'component: numpy.random']",1
"['component: numpy.fft', '53 - Invalid']",1
"['17 - Task', '05 - Testing', 'defunct — difficulty: Intermediate']",1
"['00 - Bug', '05 - Testing', 'component: numpy.testing']",1
"['17 - Task', 'component: numpy._core', '24 - PyPy']",1
"['00 - Bug', 'component: numpy._core', 'component: npy_math']",1
"['component: numpy.f2py', '33 - Question']",1
"['05 - Testing', 'component: numpy._core']",1
"['component: numpy.lib', '07 - Deprecation']",1
"['component: numpy.ma', '53 - Invalid']",1
"['15 - Discussion', '07 - Deprecation']",1
"['component: numpy.ma', '07 - Deprecation']",1
"['01 - Enhancement', 'component: numpy.distutils', 'Proposal']",1
"['17 - Task', '15 - Discussion']",1
"['15 - Discussion', 'component: build']",1
"['Priority: high', 'component: Other']",1
"['01 - Enhancement', '57 - Close?', 'component: build']",1
"['00 - Bug', 'component: numpy.fft', '57 - Close?']",1
"['17 - Task', '07 - Deprecation', 'defunct — difficulty: Intermediate']",1
"['17 - Task', 'component: distribution']",1
"['04 - Documentation', 'component: SIMD']",1
"['54 - Needs decision', 'Numpy 2.0 API Changes']",1
"['32 - Installation', '36 - Build']",1
"['03 - Maintenance', 'component: npy_math']",1
"['component: SIMD', '36 - Build']",1
"['01 - Enhancement', '33 - Question']",1
"['00 - Bug', 'component: numpy._core', 'component: numpy.lib']",1
"['00 - Bug', 'component: numpy.lib', 'component: numpy.ma']",1
"['component: Other', '03 - Maintenance']",1
"['00 - Bug', 'component: numpy.distutils', 'component: build', 'component: distribution']",1
"['06 - Regression', 'component: numpy.linalg']",1
"['01 - Enhancement', 'component: numpy.random', 'component: benchmarks']",1
"['16 - Development', '04 - Documentation']",1
"['01 - Enhancement', '23 - Wish List', 'Static typing']",1
"['component: numpy.f2py', 'component: CI']",1
"['24 - PyPy', '36 - Build']",1
"['00 - Bug', 'component: build', 'C++']",1
"['04 - Documentation', '26 - Compiler', 'C++']",1
"['00 - Bug', '01 - Enhancement', 'component: numpy.lib', '28 - Benchmark']",1
"['16 - Development', 'component: CI']",1
"['17 - Task', 'component: numpy._core', '07 - Deprecation']",1
"['00 - Bug', 'Priority: low']",1
"['00 - Bug', 'component: numpy.lib', 'sprintable']",1
"['15 - Discussion', '50 - Duplicate', 'Static typing']",1
"['14 - Release', '15 - Discussion']",1
"['00 - Bug', 'component: documentation', 'triaged']",1
"['00 - Bug', 'component: numpy.random', 'component: build']",1
"['05 - Testing', 'Proposal']",1
"['01 - Enhancement', '23 - Wish List', 'component: numpy.random']",1
"['00 - Bug', '05 - Testing', 'component: numpy.random', 'component: numpy.ma']",1
"['00 - Bug', 'component: benchmarks']",1
"['component: numpy._core', '51 - In progress']",1
"['Patch', 'component: build']",1
"['00 - Bug', 'component: documentation', 'component: build']",1
"['component: documentation', 'component: numpy.ma']",1
"['component: numpy._core', 'triage review']",1
"['17 - Task', 'component: numpy.distutils', 'component: build', 'component: distribution']",1
"['17 - Task', '05 - Testing']",1
"['Proposal', 'component: benchmarks']",1
"['00 - Bug', '01 - Enhancement', 'component: numpy.ufunc']",1
"['17 - Task', 'component: numpy._core', 'Proposal']",1
"['00 - Bug', '57 - Close?', 'component: benchmarks']",1
"['17 - Task', '05 - Testing', 'component: Other']",1
"['06 - Regression', 'component: numpy._core', '54 - Needs decision']",1
"['01 - Enhancement', 'defunct — difficulty: Intermediate', 'component: numpy.ufunc']",1
"['01 - Enhancement', 'component: numpy.lib', 'triaged', 'sprintable']",1
"['04 - Documentation', 'component: documentation', 'Priority: low']",1
"['00 - Bug', 'component: build', '38 - Cross compilation']",1
"['17 - Task', 'Project']",1
"['01 - Enhancement', 'component: numpy.matrixlib']",1
"['00 - Bug', '57 - Close?', 'component: numpy.dtype']",1
"['01 - Enhancement', '17 - Task', '54 - Needs decision']",1
"['01 - Enhancement', '17 - Task', '50 - Duplicate']",1
"['component: numpy.ufunc', '28 - Benchmark']",1
"['00 - Bug', 'component: numpy.f2py', 'Patch']",1
"['07 - Deprecation', '57 - Close?']",1
"['06 - Regression', 'Priority: high', 'component: numpy._core', '57 - Close?']",1
"['00 - Bug', '57 - Close?', 'Numpy 2.0 API Changes']",1
"['17 - Task', 'component: numpy.fft']",1
"['01 - Enhancement', 'component: numpy.distutils', '57 - Close?']",1
"['Tracking / planning', '39 - free-threading']",1
"['component: numpy.f2py', '32 - Installation', 'Meson']",1
"['03 - Maintenance', '57 - Close?']",1
"['00 - Bug', 'component: Other', 'component: build']",1
"['component: numpy.distutils', 'component: numpy.f2py', '57 - Close?']",1
"['component: numpy.distutils', '53 - Invalid']",1
"['01 - Enhancement', '23 - Wish List', 'component: numpy.lib']",1
"['01 - Enhancement', 'component: benchmarks']",1
"['00 - Bug', 'component: numpy.ufunc', 'component: numpy.dtype']",1
"['00 - Bug', 'Priority: high', 'component: build']",1
"['00 - Bug', '06 - Regression', 'component: numpy.ma']",1
"['00 - Bug', 'component: documentation', 'component: numpy.f2py']",1
"['01 - Enhancement', 'Priority: high', 'component: Other']",1
['component: numpy.strings'],1
"['component: numpy._core', 'Numpy 2.0 API Changes']",1
"['17 - Task', 'component: documentation', 'component: NEP', 'sprintable']",1
['Tracking / planning'],1
"['component: CI', '32 - Installation']",1
"['component: numpy._core', '63 - C API']",1
"['01 - Enhancement', 'component: Other', 'component: benchmarks']",1
"['00 - Bug', 'component: numpy.lib', 'Patch']",1
"['00 - Bug', 'Priority: high', 'component: numpy._core', '50 - Duplicate']",1
"['01 - Enhancement', 'component: numpy._core', 'Patch']",1
"['01 - Enhancement', 'component: numpy.distutils', 'triaged']",1
"['23 - Wish List', 'component: numpy.linalg']",1
"['01 - Enhancement', 'component: numpy.polynomial', '54 - Needs decision']",1
"['00 - Bug', 'component: numpy._core', '29 - Intel/Anaconda']",1
"['17 - Task', 'component: numpy.distutils', 'component: documentation']",1
"['54 - Needs decision', '55 - Needs work']",1
"['17 - Task', 'component: build']",1
"['01 - Enhancement', 'component: numpy.distutils', 'component: numpy.f2py']",1
"['05 - Testing', '57 - Close?', 'component: numpy.ufunc', 'component: numpy.dtype']",1
"['01 - Enhancement', '54 - Needs decision', 'Proposal']",1
"['17 - Task', 'component: numpy.linalg', 'Proposal', 'triaged']",1
"['17 - Task', 'Priority: high', 'component: numpy.distutils']",1
"['00 - Bug', 'component: numpy._core', 'sprintable']",1
"['17 - Task', 'component: numpy.lib']",1
"['00 - Bug', 'component: numpy.distutils', 'Patch']",1
"['00 - Bug', '04 - Documentation', 'component: numpy._core', '54 - Needs decision']",1
"['00 - Bug', '16 - Development', 'component: numpy._core']",1
"['00 - Bug', 'component: numpy.lib', 'component: documentation']",1
"['00 - Bug', '09 - Backport-Candidate']",1
"['01 - Enhancement', 'component: numpy._core', 'Embedded']",1
"['15 - Discussion', 'component: Other']",1
